0,37_58 37_58_64 37_58_66 66 64 66 37_58 37_58_64 37_58_66
1,35_59 35_59_63 35_59_66 66 63 66 35_59 35_59_63 35_59_66
2,52_71 52_80 80 76 64_83 80_83 76_83
3,35_59_63 35_59_66 66 63 66 35_59 35_59_63 35_59_66 66 63
4,37_58_64 37_58_66 66 64 66 37_58 37_58_64 37_58_66 66 64
5,46_52_64_66_73 46_54_64_66_73 46_58_64_66_73 46_58 46_52_64_66_73 46_54_64_66_73 46_58_64_66_73
6,47_51_63_66_71 47_54_63_66_71 47_59_63_66_71 47_59 47_51_63_66_71 47_54_63_66_71 47_59_63_66_71 47_59
7,49_76 49_85 85 80 61_88 85_88 80_88
8,76 75 76 71 74 72 45_69
9,75 76 71 74 72 45_69 45_52 45_57
10,81_93 79_91 81_93 79_91 81_93 79_91 81_93 79_91 81_93
